# {"t_start": 1551811845.827794, "env_id": "Reacher-v2"} 
r,l,t
-104.023202,50,9.731689
-98.380612,50,9.798513
-114.01874,50,9.865093
-126.477056,50,9.931728
-91.87856,50,9.998299
-82.914705,50,10.064812
-126.776009,50,10.131405
-148.001131,50,10.198508
-102.575167,50,10.265183
-123.060026,50,10.33176
-109.410449,50,10.398229
-105.341853,50,11.99225
-97.294612,50,12.058942
-113.527334,50,12.125743
-77.21939,50,12.192579
-83.449109,50,12.248653
-107.093825,50,12.304615
-118.455898,50,12.358902
-129.27928,50,12.415713
-98.870077,50,12.468995
-145.837428,50,12.520922
-98.54232,50,12.579519
-138.442278,50,12.634867
-126.659053,50,12.689665
-157.127049,50,12.74578
-130.923465,50,12.801207
-90.120542,50,12.857198
-106.256624,50,12.913579
-117.798066,50,12.968535
-106.546266,50,13.018384
-98.730205,50,13.066976
-93.089131,50,13.120216
-105.152205,50,13.171805
-136.077563,50,13.228904
-110.330134,50,13.282658
-105.714981,50,13.338773
-128.99534,50,13.396821
-168.923113,50,13.459234
-101.190101,50,13.525277
-95.122788,50,13.590901
-110.1777,50,13.658227
-102.498677,50,13.724206
-94.718,50,13.790239
-149.102167,50,13.856773
-117.220151,50,13.922279
-120.487692,50,13.988772
-99.012745,50,14.056237
-98.567719,50,14.122588
-115.503007,50,14.188618
-144.292576,50,14.255634
-97.580405,50,14.320816
-98.939982,50,14.386166
-142.689595,50,16.020284
-104.739388,50,16.077613
-108.090088,50,16.132341
-87.226427,50,16.179671
-96.069428,50,16.223352
-102.47451,50,16.274695
-104.206665,50,16.333686
-110.218874,50,16.390705
-104.844044,50,16.440575
-108.473249,50,16.496485
-102.586572,50,16.550512
-106.693445,50,16.606814
-104.927697,50,16.656638
-98.478464,50,16.713562
-91.257586,50,16.771434
-121.248272,50,16.822782
-90.456499,50,16.872341
-113.12041,50,16.922274
-97.690811,50,16.971558
-83.878517,50,17.025866
-115.123845,50,17.082852
-101.020199,50,17.14085
-114.742379,50,17.19743
-93.466815,50,17.252834
-80.734796,50,17.305446
-130.433035,50,17.358098
-105.342425,50,17.413699
-106.711024,50,17.461583
-74.718631,50,17.517137
-124.606719,50,17.571785
-119.981334,50,17.640859
-86.23298,50,17.717269
-98.41912,50,17.794906
-125.959208,50,17.87343
-96.63971,50,17.95083
-95.964009,50,18.028842
-84.546082,50,18.106207
-145.930541,50,18.184376
-100.142273,50,18.259175
-96.736531,50,18.326093
-83.598055,50,18.391475
-94.624118,50,19.997975
-97.372775,50,20.063841
-112.732256,50,20.129967
-86.609186,50,20.196151
-118.360461,50,20.260081
-79.088656,50,20.31789
-102.081221,50,20.369344
-93.023735,50,20.418305
-102.217162,50,20.467256
-88.033918,50,20.520307
-113.336302,50,20.574028
-80.151079,50,20.624638
-91.584669,50,20.681377
-76.637052,50,20.738276
-137.030453,50,20.79005
-115.080023,50,20.835817
-93.020071,50,20.878999
-110.005632,50,20.921938
-82.159966,50,20.964984
-124.325044,50,21.007745
-97.142662,50,21.050798
-80.474724,50,21.096336
-95.495868,50,21.14543
-85.992771,50,21.197204
-84.898328,50,21.249219
-102.455435,50,21.304671
-86.862912,50,21.362208
-110.009718,50,21.418693
-126.487361,50,21.47507
-90.003483,50,21.531454
-101.764833,50,21.587718
-80.359384,50,21.642027
-104.948713,50,21.706122
-82.056231,50,21.772435
-93.725418,50,21.838989
-108.449921,50,21.90548
-104.982131,50,21.972123
-101.756569,50,22.03871
-70.78864,50,22.105232
-99.144077,50,22.171688
-100.331046,50,22.238348
-113.033621,50,23.846629
-66.341595,50,23.912503
-88.880638,50,23.976243
-66.920699,50,24.039873
-92.544795,50,24.103889
-100.87872,50,24.169336
-68.257928,50,24.234433
-89.75704,50,24.29969
-110.046421,50,24.355125
-85.433084,50,24.409782
-81.568621,50,24.467159
-92.534663,50,24.533629
-102.287366,50,24.600784
-64.607059,50,24.667046
-91.092508,50,24.733666
-115.182601,50,24.801645
-95.05205,50,24.868076
-92.883343,50,24.934442
-105.47263,50,25.000895
-90.408685,50,25.067683
-86.354238,50,25.134475
-79.422752,50,25.200827
-100.685857,50,25.267249
-85.023407,50,25.333588
-97.53623,50,25.400182
-81.940756,50,25.46647
-90.545351,50,25.532959
-91.197133,50,25.599417
-75.677876,50,25.665656
-70.902066,50,25.732341
-117.113937,50,25.798801
-71.548592,50,25.865266
-97.924025,50,25.93169
-86.185535,50,25.997979
-102.841108,50,26.064409
-101.443782,50,26.130716
-96.608296,50,26.197182
-98.653343,50,26.26334
-105.402171,50,26.329507
-114.344204,50,26.395934
-80.801934,50,26.462323
-77.159947,50,28.070625
-80.723879,50,28.132694
-66.418708,50,28.19275
-107.264669,50,28.253919
-81.139306,50,28.313068
-83.116945,50,28.37038
-85.028706,50,28.42916
-76.27373,50,28.489835
-57.472539,50,28.549038
-78.597929,50,28.608279
-74.204628,50,28.666227
-85.399828,50,28.723085
-84.540435,50,28.783685
-71.158308,50,28.841934
-77.262616,50,28.901311
-111.872397,50,28.960196
-80.602876,50,29.015311
-84.302913,50,29.073436
-89.430177,50,29.128653
-89.297148,50,29.18375
-82.232084,50,29.237305
-92.058564,50,29.292524
-66.623882,50,29.349345
-89.242374,50,29.405346
-89.586684,50,29.452307
-85.916545,50,29.509596
-82.244443,50,29.56022
-94.414955,50,29.610779
-85.198041,50,29.654671
-69.291021,50,29.702808
-86.549679,50,29.753135
-87.193561,50,29.799898
-98.00558,50,29.843707
-92.236833,50,29.887879
-95.752561,50,29.931789
-78.333041,50,29.975409
-83.428044,50,30.019238
-67.003842,50,30.062768
-91.779251,50,30.106212
-94.411927,50,30.14982
-75.536207,50,30.193748
-61.325369,50,31.492084
-66.752823,50,31.548324
-68.119505,50,31.606817
-76.936769,50,31.662327
-73.523904,50,31.72157
-75.826276,50,31.777455
-62.248724,50,31.836149
-59.610575,50,31.894572
-82.441003,50,31.952435
-80.139078,50,32.007279
-72.516425,50,32.063085
-105.289446,50,32.122083
-89.471201,50,32.180312
-79.338443,50,32.23904
-63.89352,50,32.296472
-67.442324,50,32.355613
-68.845435,50,32.414387
-61.336469,50,32.474023
-83.410865,50,32.533413
-64.271577,50,32.591772
-82.178733,50,32.651597
-71.661488,50,32.710198
-92.867839,50,32.765946
-81.737697,50,32.826213
-69.264494,50,32.893381
-71.150508,50,32.96104
-77.232862,50,33.027288
-80.575658,50,33.094599
-82.085572,50,33.163146
-82.15884,50,33.229469
-82.727146,50,33.295493
-65.79751,50,33.361299
-80.757505,50,33.428825
-88.121432,50,33.496563
-75.160171,50,33.564336
-92.496801,50,33.631237
-78.151834,50,33.698411
-84.058298,50,33.766733
-86.489726,50,33.83568
-72.770719,50,33.902958
-67.419145,50,33.970914
-65.697148,50,35.600571
-79.21428,50,35.667691
-72.149999,50,35.733446
-77.76523,50,35.799207
